sku_id,equipment_name,equipment_category,unit_cost,supplier,lead_time_days,popularity_factor
SKU-001,Cinema Camera Body A,Camera,63046.7,Pacific Audio Works,17,1.455
SKU-002,Cinema Camera Body B,Camera,57302.6,Apex Grip & Lighting Supply,12,0.521
SKU-003,Cinema Camera Body C,Camera,62085.48,Coastal Cine Supply,18,0.992
SKU-004,Documentary Camera Body A,Camera,38778.95,Pacific Audio Works,16,1.475
SKU-005,Documentary Camera Body B,Camera,53289.88,Coastal Cine Supply,14,1.263
SKU-006,Broadcast Camera Body A,Camera,22042.9,Summit Equipment Partners,11,0.619
SKU-007,Compact Cinema Camera A,Camera,67072.34,Summit Equipment Partners,13,0.912
SKU-008,Compact Cinema Camera B,Camera,31589.45,Northline Rentals Wholesale,10,0.926
SKU-009,Large Format Camera A,Camera,63378.76,Meridian Camera Systems,19,1.305
SKU-010,Large Format Camera B,Camera,8285.28,Apex Grip & Lighting Supply,16,1.24
SKU-011,Prime Lens Set A (18-100mm),Lens,22853.34,Northline Rentals Wholesale,9,0.774
SKU-012,Prime Lens Set B (24-135mm),Lens,12372.87,Pacific Audio Works,7,1.759
SKU-013,Zoom Lens 24-70mm,Lens,5637.8,Pacific Audio Works,12,0.662
SKU-014,Zoom Lens 70-200mm,Lens,20754.79,Pacific Audio Works,14,1.312
SKU-015,Anamorphic Lens Set A,Lens,25303.27,Coastal Cine Supply,10,1.06
SKU-016,Macro Lens 100mm,Lens,10073.19,Coastal Cine Supply,8,1.118
SKU-017,Wide Angle Lens 14mm,Lens,7597.43,Apex Grip & Lighting Supply,13,1.156
SKU-018,Telephoto Lens 300mm,Lens,20615.82,Coastal Cine Supply,10,0.852
SKU-019,Vintage Lens Set A,Lens,14849.64,Summit Equipment Partners,11,0.871
SKU-020,Speed Booster Adapter A,Lens,5206.84,Coastal Cine Supply,10,1.623
SKU-021,LED Panel Light A,Lighting,8695.92,Coastal Cine Supply,5,1.085
SKU-022,LED Panel Light B,Lighting,8526.9,Summit Equipment Partners,5,1.487
SKU-023,Fresnel Light 650W,Lighting,946.86,Pacific Audio Works,7,1.536
SKU-024,Fresnel Light 1000W,Lighting,6423.67,Northline Rentals Wholesale,12,0.567
